met type,date,mean/sum,min,max,%complete,comments
Air Temperature,07/03/2010,-0.13,-3.63,4.25,100,
Air Temperature,08/03/2010,1.34,-3.52,6.16,100,
Air Temperature,09/03/2010,3.73,0.99,6.3,100,
Air Temperature,10/03/2010,2.78,-0.17,6.02,100,
Air Temperature,11/03/2010,3.11,0.48,6.03,100,
Air Temperature,12/03/2010,4.22,1.29,8.38,100,
Air Temperature,13/03/2010,5.43,2.92,8.79,100,
Air Temperature,14/03/2010,7.28,3.24,11.39,100,
Air Temperature,15/03/2010,7.09,2.55,11.18,100,
Air Temperature,16/03/2010,5.59,0.48,10.52,100,
Air Temperature,17/03/2010,6.89,2.8,11.57,100,
Air Temperature,18/03/2010,9.36,5.49,13.33,100,
Air Temperature,19/03/2010,8.95,7.25,10.37,100,
Air Temperature,20/03/2010,9.78,7.4,10.81,100,
Air Temperature,21/03/2010,7.58,4.89,11.75,100,
Air Temperature,22/03/2010,7,4.58,9.4,100,
Air Temperature,23/03/2010,6.48,1.52,8.8,100,
Air Temperature,24/03/2010,10.05,7.42,14.27,100,
Air Temperature,25/03/2010,9.33,6.96,11.93,100,
Air Temperature,26/03/2010,7.94,6.32,10.6,100,
Air Temperature,27/03/2010,8.58,5.85,12.46,100,
Air Temperature,28/03/2010,7.83,4.87,11.45,100,
Air Temperature,29/03/2010,8.55,6.83,9.75,100,
Air Temperature,30/03/2010,6.6,4.27,9.37,100,
Air Temperature,31/03/2010,3.77,1.78,5.88,100,
Air Temperature,01/04/2010,4.83,0.98,8.78,100,
Air Temperature,02/04/2010,6.1,4.36,8.94,100,
Air Temperature,03/04/2010,5.9,2.98,9.56,100,
Air Temperature,04/04/2010,6.32,2.98,9.99,100,
Air Temperature,05/04/2010,7.62,2.54,11.07,100,
Air Temperature,06/04/2010,10.34,6.62,14.03,100,
Air Temperature,07/04/2010,8.83,6.29,10.95,100,
Air Temperature,08/04/2010,9.31,3.7,14.77,100,
Air Temperature,09/04/2010,11.93,7.03,16.93,100,
Air Temperature,10/04/2010,11.25,6.1,16.78,100,
Air Temperature,11/04/2010,8.19,4.35,13.2,100,
Air Temperature,12/04/2010,8.42,4.44,13.21,100,
Air Temperature,13/04/2010,8.41,3.49,14.32,100,
Air Temperature,14/04/2010,7.03,5.12,10.42,100,
Air Temperature,15/04/2010,7.9,3.36,13.16,100,
Air Temperature,16/04/2010,7.78,3.16,12.59,100,
Air Temperature,17/04/2010,8.29,1.63,14.83,100,
Air Temperature,18/04/2010,10.34,4.16,16.77,100,
Air Temperature,19/04/2010,9.21,4.94,14.81,100,
Air Temperature,20/04/2010,9.1,4.42,13.61,100,
Air Temperature,21/04/2010,7.12,2.35,12.21,100,
Air Temperature,22/04/2010,7.13,2.1,13.46,100,
Air Temperature,23/04/2010,8.85,2.87,14.61,100,
Air Temperature,24/04/2010,11.15,2.94,17.63,100,
Air Temperature,25/04/2010,11.29,8.65,15.7,100,
Air Temperature,26/04/2010,12.23,8.22,17.66,100,
Air Temperature,27/04/2010,13.03,8.83,17.82,100,
Air Temperature,28/04/2010,13.4,9.36,18.34,100,
Air Temperature,29/04/2010,12.9,9.58,16.49,100,
Air Temperature,30/04/2010,10.17,6.98,14.32,100,
Air Temperature,01/05/2010,10.39,8.08,13.85,100,
Air Temperature,02/05/2010,7.09,4.61,8.62,100,
